post_url,comment
https://x.com/jairbolsonaro/status/1945975891357807000/photo/1,Tucker Carlson: A verdade sobre Jair Bolsonaro.
https://x.com/jairbolsonaro/status/1945975891357807000/photo/1,"Um presidente que sacrificou a melhor oportunidade em decados em troca de blindar os filhos
Um presidente cachaceiro que tenta levar tudo na base da mentira
Enquanto eles se retroalimentam o povo morre de fome.
@grok
 o que sobra pro betinha fã de político?"
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,"LULA VIRA LATA
FORA LULA 
FORA PT"
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,"A CULPA É DO LULA
LULA VIRA LATA
FORA LULA
FORA PT"
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,Vagabundo!!!
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,"TARIFA DO MORAIS
CULPA DO LULA 
CHEGA DE DITADURA
DEFENDA O BRASIL DO PT

T"
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,Aquele ali é o Paulo Okamotto?...
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,DEFENDA O BRASIL DO PT
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,Eles que possuem o verdadeiro Gabinete do Ódio. E pagam por isso.
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,Cadê as famílias oliquarcas do Brasil q mandam em diversos políticos de Brasília p pedirem por conciliação?!
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,"Está tomando uma sova nas redes hein?
Luiz Inácio Lula da Silva colocou a pica na mesa e mandou medir. Segura o velho 

O BRASIL É DOS BRASILEIROS"
https://x.com/jairbolsonaro/status/1943643549901185526/photo/1,Se calam tanto opositores pq você ainda tá aqui falando merda????
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"Kkkkk. Você lutando por liberdade? Você quer anistia, só assim seu nome pode ser incluído! Liberdade para os presos políticos! Os políticos com ficha suja devem obedecer o tempo de inelegibilidade!"
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"No momento, nós patriotas, estamos vivendo mais uma situação tenebrosa, que a inconsequência politica atual tem nos comedido, porém com a tua garra Capitão, tem nos fortalecido e sustentado a nossa certeza de que dias melhores estão por vir. 
Que o Universo nos proteja  e guarde."
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"Continue apoiar o Trump, 
@jairbolsonaro
 ! Vai provar + uma vez, q é um TRAIDOR E INIMIGO DO BR, APOIANDO UM AUTORITÁRIO MALDITO E VINGATIVO CONTRA INTERESSES DO POVO E DO BR! Não tá nem aí pros prejuízos do Agro, indústria e comércio no BR! 
BOLSONARO TRAIDOR
#BolsoTaxa"
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"Precisamos do senhor de volta!
Não existe democracia sem Jair Bolsonaro nas eleições!!

DEFENDA O BRASIL DE MORAES."
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"A diferença é que os USA tem presidente corajoso, intrépido e que não amarela.

Já o senhor, ah o senhor. Com a máquina pública nas mãos, chefiando o executivo, nada fez quando foi impugnada a prisão do Lula e consequentemente a elegibilidade dele. Perdeu para o sistema."
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,leva esse recado do seu amigo daqui para o seu amigo de lá
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"BOLSONARO NA CADEIA
BOLSONARO TE TAXOU
BOLSONARO TAXOU O BRASIL"
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,So que ele ainda corre perigo pois vc sabe quem é do bem eles nao querem ver bem precisa andar sempre alerta nesse meio político Que Deus abençoe sempre sua vida e te proteja sempre vcs dois neste momento crítico
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"Diferente de você, ele foi eleito 2 vezes kkkkkk seu patético traidor"
https://x.com/jairbolsonaro/status/1944486239216062825/photo/1,"Acho que você esqueceu algumas datas importantes na sua fala. Mas vou te ajudar:

O 8 de janeiro de 2023, jamais será esquecido, assim como também não serão esquecidas as mais de 600 mil mortes por COVID-19."
