post_url,comment
https://x.com/LulaOficial/status/1961098902490194392/photo/1,#lulaladrao #STFVergonhaNacional #globolixocorrupta
https://x.com/LulaOficial/status/1961098902490194392/photo/1,FORA ESQUERDA MALDITA COMUNISTA
https://x.com/LulaOficial/status/1961098902490194392/photo/1,"Agora que a PF e RF resolveu ""descobrir"" o que o Brasil já sabe há anos...

Se a casa caiu para esse governo ladrão, é pq o Trump mandou, pq se fosse depender de alguém daqui...

Obrigado 
@realDonaldTrump
 !"
https://x.com/LulaOficial/status/1961098902490194392/photo/1,"Objetivo da esquerda 
Benefícios 
Povo alienado 
Apologia ao crime organizado 
Apologia a ditaduras
Roubo e corrupção
Minar a liberdade individual 
Rouba mais imposto 
Autonomia ministério público 
Autonomia TCU
Justiça contra corrupção 
Neutralidade"
https://x.com/LulaOficial/status/1961098902490194392/photo/1,Espero que invista no Brasil e não na put@ que o pariu!!!
https://x.com/LulaOficial/status/1961098902490194392/photo/1,"Blindando o irmão e Paulo Guedes no caso do INSS.

Alguém está pronto pra esse papo?
BANDO DE VAGABUNDOS!"
https://x.com/LulaOficial/status/1961098902490194392/photo/1,Olha animação do presidente do Panamá ao lado deste VERME!
https://x.com/LulaOficial/status/1961098902490194392/photo/1,"Ladrão 
Corrupto 
Líder de facção criminosa 
Ex condenado 
Ex presidiário"
https://x.com/LulaOficial/status/1961098902490194392/photo/1,"Amiguinho de ditadores, lula de merda"
https://x.com/LulaOficial/status/1961098902490194392/photo/1,Logo vc vai receber o TRUMP pra jogar TRUCO
https://x.com/LulaOficial/status/1961524624518516845,Parabéns presidente Lula
https://x.com/LulaOficial/status/1961524624518516845,O racista ladrão falará mais impropérios hj? Com certeza!
https://x.com/LulaOficial/status/1961524624518516845,Very good succesful
https://x.com/LulaOficial/status/1961524624518516845,Esse vai cobrar o Brasil!
https://x.com/LulaOficial/status/1961524624518516845,"Você é um corrupto, canalha"
https://x.com/LulaOficial/status/1961524624518516845,"Otimo trabalho presidente, vamos reunir os MST para ajudar o maduro ele esta convocando vamos."
https://x.com/LulaOficial/status/1961524624518516845,"LULA 2026
LULA CONTRA O CRIME"
https://x.com/LulaOficial/status/1961524624518516845,oiiiiii Noticia dos amigos do falso presidente
https://x.com/LulaOficial/status/1961524624518516845,"QUEM TINHA DIÁLOGO CABULOSO COM O PCC NÃO ERA O PT? POR QUE VOCÊ TÁ METENDO ESSA AGORA, VAGABUNDO? DESESPERO? 

VOCÊ MERECIA UMA SURRA POR SER O CANALHA, MENTIROSO E BANDIDO QUE VOCÊ É!"
https://x.com/LulaOficial/status/1961524624518516845,"Quero ver você responder estas perguntas, VAGABUNDO! 

Mas a pergunta que não quer calar é: 

Se Bolsonaro tem ligações com o crime organizado, POR QUE, então, TODOS OS PRESIDIÁRIOS DO PAÍS COMEMORARAM A ""SUA VITÓRIA"" NAS PSEUDO ELEIÇÕES DE 22?

RESPONDA, SEU CABEÇA CHATA FDP!"
https://x.com/LulaOficial/status/1960022634156163091/photo/1,"É por causa dessas MERDAS, que o Brasil não evolui!"
https://x.com/LulaOficial/status/1960022634156163091/photo/1,"Mr. 
@OficialABAT
, this crook is a con man of the worst kind! Don't trust this 
@lulaOficial
, or he'll stab you in the back!"
